Genre,Count
drama,3617
thriller,2167
comedy,2020
action,1569
romance film,1441
action/adventure,1222
crime fiction,1101
adventure,1067
indie,867
horror,786
fantasy,736
science fiction,708
crime thriller,652
mystery,648
family film,602
romantic comedy,601
romantic drama,581
period piece,546
film adaptation,483
psychological thriller,411
teen,385
comedy-drama,376
musical,370
black-and-white,367
world cinema,344
coming of age,286
animation,280
suspense,267
cult,253
black comedy,245
war film,242
supernatural,238
costume drama,223
biography,221
lgbt,202
