Genre,Count,Category
drama,3617,Drama and Emotion
thriller,2167,Thriller and Horror
comedy,2020,Comedy and Light-Hearted
action,1569,Action and Adventure
romance film,1441,Drama and Emotion
action/adventure,1222,Action and Adventure
crime fiction,1101,Action and Adventure
adventure,1067,Action and Adventure
indie,867,Comedy and Light-Hearted
horror,786,Thriller and Horror
fantasy,736,Science Fiction and Fantasy
science fiction,708,Science Fiction and Fantasy
crime thriller,652,Thriller and Horror
mystery,648,Science Fiction and Fantasy
family film,602,Comedy and Light-Hearted
romantic comedy,601,Drama and Emotion
romantic drama,581,Drama and Emotion
period piece,546,Drama and Emotion
psychological thriller,411,Thriller and Horror
